"1","1","1","بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ","اللہ کے نام سے جو رحمان و رحیم ہے","In the name of Allah, the Merciful, the Compassionate"
"3400","29","60","وَكَأَيِّن مِّن دَابَّةٍ لَّا تَحْمِلُ رِزْقَهَا اللَّهُ يَرْزُقُهَا وَإِيَّاكُمْ ۚ وَهُوَ السَّمِيعُ الْعَلِيمُ","کتنے ہی جانور ہیں جو اپنا رزق اٹھائے نہیں پھرتے، اللہ اُن کو رزق دیتا ہے اور تمہارا رازق بھی وہی ہے، وہ سب کچھ سُنتا اور جانتا ہے","How many an animal there is that does not carry about its sustenance. Allah provides sustenance to them and to you. He is All-Hearing, All-Knowing."
"3401","29","61","وَلَئِن سَأَلْتَهُم مَّنْ خَلَقَ السَّمَاوَاتِ وَالْأَرْضَ وَسَخَّرَ الشَّمْسَ وَالْقَمَرَ لَيَقُولُنَّ اللَّهُ ۖ فَأَنَّىٰ يُؤْفَكُونَ","اگر تم اِن لوگوں سے پُوچھو کہ زمین اور آسمانوں کو کس نے پیدا کیا ہے اور چاند اور سُورج کو کس نے مسخّر کر رکھا ہے تو ضرور کہیں گے کہ اللہ نے، پھر یہ کدھر سے دھوکا کھا رہے ہیں؟","If you were to ask them: “Who created the heavens and the earth and Who has kept the sun and the moon in subjection?” they will certainly say: “Allah.” How come, then, they are being deluded from the Truth?"
"3402","29","62","اللَّهُ يَبْسُطُ الرِّزْقَ لِمَن يَشَاءُ مِنْ عِبَادِهِ وَيَقْدِرُ لَهُ ۚ إِنَّ اللَّهَ بِكُلِّ شَيْءٍ عَلِيمٌ","اللہ ہی ہے جو اپنے بندوں میں سے جس کا چاہتا ہے رزق کشادہ کرتا ہے اور جس کا چاہتا ہے تنگ کرتا ہے، یقیناً اللہ ہر چیز کا جاننے والا ہے","Allah enlarges the sustenance of any of His servants whom He will, and straitens the sustenance of whom He will. Surely Allah has knowledge of everything."
"3403","29","63","وَلَئِن سَأَلْتَهُم مَّن نَّزَّلَ مِنَ السَّمَاءِ مَاءً فَأَحْيَا بِهِ الْأَرْضَ مِن بَعْدِ مَوْتِهَا لَيَقُولُنَّ اللَّهُ ۚ قُلِ الْحَمْدُ لِلَّهِ ۚ بَلْ أَكْثَرُهُمْ لَا يَعْقِلُونَ","اور اگر تم ان سے پوچھو کس نے آسمان سے پانی برسایا اور اِس کے ذریعہ سے مُردہ پڑی ہوئی زمین کو جِلا اٹھایا تو وہ ضرور کہیں گے اللہ نے کہو، الحمدللہ، مگر اکثر لوگ سمجھتے نہیں ہیں","If you were to ask them: “Who sent down water from the sky and therewith revived the earth after its death?” they will certainly say: “Allah.” Say: “To Allah alone be praise and thanks.” But most people do not understand."
"3404","29","64","وَمَا هَـٰذِهِ الْحَيَاةُ الدُّنْيَا إِلَّا لَهْوٌ وَلَعِبٌ ۚ وَإِنَّ الدَّارَ الْآخِرَةَ لَهِيَ الْحَيَوَانُ ۚ لَوْ كَانُوا يَعْلَمُونَ","اور یہ دنیا کی زندگی کچھ نہیں ہے مگر ایک کھیل اور دل کا بہلاوا اصل زندگی کا گھر تو دار آخرت ہے، کاش یہ لوگ جانتے","The present life is nothing but sport and amusement. The true life is in the Abode of the Hereafter; if only they knew."
"3405","29","65","فَإِذَا رَكِبُوا فِي الْفُلْكِ دَعَوُا اللَّهَ مُخْلِصِينَ لَهُ الدِّينَ فَلَمَّا نَجَّاهُمْ إِلَى الْبَرِّ إِذَا هُمْ يُشْرِكُونَ","جب یہ لوگ کشتی پر سوار ہوتے ہیں تو اپنے دین کو اللہ کے لیے خالص کر کے اُس سے دُعا مانگتے ہیں، پھر جب وہ اِنہیں بچا کر خشکی پر لے آتا ہے تو یکایک یہ شرک کرنے لگتے ہیں","When they embark in the ships they call upon Allah, consecrating their faith to Him. But when He rescues them and brings them to land, they suddenly begin to associate others with Allah in His Divinity"
"3406","29","66","لِيَكْفُرُوا بِمَا آتَيْنَاهُمْ وَلِيَتَمَتَّعُوا ۖ فَسَوْفَ يَعْلَمُونَ","تاکہ اللہ کی دی ہوئی نجات پر اس کا کفران نعمت کریں اور (حیات دنیا کے) مزے لوٹیں اچھا، عنقریب اِنہیں معلوم ہو جائے گا","that they may be ungrateful for the rescue that We granted them, and that they may revel in the pleasures (of the present life). Soon they shall come to know."
"3407","29","67","أَوَلَمْ يَرَوْا أَنَّا جَعَلْنَا حَرَمًا آمِنًا وَيُتَخَطَّفُ النَّاسُ مِنْ حَوْلِهِمْ ۚ أَفَبِالْبَاطِلِ يُؤْمِنُونَ وَبِنِعْمَةِ اللَّهِ يَكْفُرُونَ","کیا یہ دیکھتے نہیں ہیں کہ ہم نے ایک پر امن حرم بنا دیا ہے حالانکہ اِن کے گرد و پیش لوگ اُچک لیے جاتے ہیں؟ کیا پھر بھی یہ لوگ باطل کو مانتے ہیں اور اللہ کی نعمت کا کفران کرتے ہیں؟","Do they not see that We have given them a sanctuary of safety whereas people around them are being snatched away? So, do they believe in falsehood and ungratefully deny Allah's bounties?"
"3408","29","68","وَمَنْ أَظْلَمُ مِمَّنِ افْتَرَىٰ عَلَى اللَّهِ كَذِبًا أَوْ كَذَّبَ بِالْحَقِّ لَمَّا جَاءَهُ ۚ أَلَيْسَ فِي جَهَنَّمَ مَثْوًى لِّلْكَافِرِينَ","اُس شخص سے بڑا ظالم کون ہو گا جو اللہ پر جھوٹ باندھے یا حق کو جھُٹلائے جب کہ وہ اس کے سامنے آ چکا ہو؟ کیا ایسے کافروں کا ٹھکانہ جہنم ہی نہیں ہے؟","Who can be more unjust than he who foists a lie on Allah or gives the lie to the Truth after it has come to him? Is Hell not the resort of the unbelievers?"
"3409","29","69","وَالَّذِينَ جَاهَدُوا فِينَا لَنَهْدِيَنَّهُمْ سُبُلَنَا ۚ وَإِنَّ اللَّهَ لَمَعَ الْمُحْسِنِينَ","جو لوگ ہماری خاطر مجاہدہ کریں گے انہیں ہم اپنے راستے دکھائیں گے، اور یقیناً اللہ نیکو کاروں ہی کے ساتھ ہے","As for those who strive in Our cause, We shall surely guide them to Our Ways. Indeed Allah is with those who do good."
"3410","30","1","بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ الم","ا ل م","Alif. Lam. Mim."
"3411","30","2","غُلِبَتِ الرُّومُ","رومی قریب کی سرزمین میں مغلوب ہو گئے ہیں","The Romans have been defeated"
"3412","30","3","فِي أَدْنَى الْأَرْضِ وَهُم مِّن بَعْدِ غَلَبِهِمْ سَيَغْلِبُونَ","اور اپنی اِس مغلوبیت کے بعد چند سال کے اندر وہ غالب ہو جائیں گے","in the neighbouring land; but after their defeat they shall gain victory in a few years."
"3413","30","4","فِي بِضْعِ سِنِينَ ۗ لِلَّهِ الْأَمْرُ مِن قَبْلُ وَمِن بَعْدُ ۚ وَيَوْمَئِذٍ يَفْرَحُ الْمُؤْمِنُونَ","اللہ ہی کا اختیار ہے پہلے بھی اور بعد میں بھی اور وہ دن وہ ہو گا جبکہ اللہ کی بخشی ہوئی فتح پر مسلمان خوشیاں منائیں گے","All power belongs to Allah both before and after. On that day will the believers rejoice"
"3414","30","5","بِنَصْرِ اللَّهِ ۚ يَنصُرُ مَن يَشَاءُ ۖ وَهُوَ الْعَزِيزُ الرَّحِيمُ","اللہ نصرت عطا فرماتا ہے جسے چاہتا ہے، اور وہ زبردست اور رحیم ہے","at the victory granted by Allah. He grants victory to whomsoever He pleases. He is the Most Mighty, the Most Compassionate."
"3415","30","6","وَعْدَ اللَّهِ ۖ لَا يُخْلِفُ اللَّهُ وَعْدَهُ وَلَـٰكِنَّ أَكْثَرَ النَّاسِ لَا يَعْلَمُونَ","یہ وعدہ اللہ نے کیا ہے، اللہ کبھی اپنے وعدے کی خلاف ورزی نہیں کرتا، مگر اکثر لوگ نہیں جانتے ہیں","This is Allah's promise and He does not go back on His promise. But most people do not know."
"3416","30","7","يَعْلَمُونَ ظَاهِرًا مِّنَ الْحَيَاةِ الدُّنْيَا وَهُمْ عَنِ الْآخِرَةِ هُمْ غَافِلُونَ","لوگ دُنیا کی زندگی کا بس ظاہری پہلو جانتے ہیں اور آخرت سے وہ خود ہی غافل ہیں","People simply know the outward aspect of the worldly life but are utterly heedless of the Hereafter."
"3417","30","8","أَوَلَمْ يَتَفَكَّرُوا فِي أَنفُسِهِم ۗ مَّا خَلَقَ اللَّهُ السَّمَاوَاتِ وَالْأَرْضَ وَمَا بَيْنَهُمَا إِلَّا بِالْحَقِّ وَأَجَلٍ مُّسَمًّى ۗ وَإِنَّ كَثِيرًا مِّنَ النَّاسِ بِلِقَاءِ رَبِّهِمْ لَكَافِرُونَ","کیا انہوں نے کبھی اپنے آپ میں غور و فکر نہیں کیا؟ اللہ نے زمین اور آسمانوں کو اور اُن ساری چیزوں کو جو اُن کے درمیان ہیں برحق اور ایک مقرّر مدت ہی کے لیے پیدا کیا ہے مگر بہت سے لوگ اپنے رب کی ملاقات کے منکر ہیں","Do they not reflect on themselves? Allah created the heavens and the earth and whatever lies between them in Truth and for an appointed term. Yet many people deny that they will meet their Lord."
"3418","30","9","أَوَلَمْ يَسِيرُوا فِي الْأَرْضِ فَيَنظُرُوا كَيْفَ كَانَ عَاقِبَةُ الَّذِينَ مِن قَبْلِهِمْ ۚ كَانُوا أَشَدَّ مِنْهُمْ قُوَّةً وَأَثَارُوا الْأَرْضَ وَعَمَرُوهَا أَكْثَرَ مِمَّا عَمَرُوهَا وَجَاءَتْهُمْ رُسُلُهُم بِالْبَيِّنَاتِ ۖ فَمَا كَانَ اللَّهُ لِيَظْلِمَهُمْ وَلَـٰكِن كَانُوا أَنفُسَهُمْ يَظْلِمُونَ","اور کیا یہ لوگ کبھی زمین میں چلے پھرے نہیں ہیں کہ اِنہیں اُن لوگوں کا انجام نظر آتا جو اِن سے پہلے گزر چکے ہیں؟ وہ اِن سے زیادہ طاقت رکھتے تھے، اُنہوں نے زمین کو خوب ادھیڑا تھا اور اُسے اتنا آباد کیا تھا جتنا اِنہوں نے نہیں کیا ہے اُن کے پاس ان کے رسول روشن نشانیاں لے کر آئے پھر اللہ ان پر ظلم کرنے والا نہ تھا، مگر وہ خود ہی اپنے اوپر ظلم کر رہے تھے","Have they not travelled through the earth that they may observe what was the end of their predecessors who were far mightier and tilled the land and built upon it more than these have ever built? And Allah's Messengers came to them with Clear Signs. It was not Allah Who wronged them, but it is they who wronged themselves."
"3419","30","10","ثُمَّ كَانَ عَاقِبَةَ الَّذِينَ أَسَاءُوا السُّوأَىٰ أَن كَذَّبُوا بِآيَاتِ اللَّهِ وَكَانُوا بِهَا يَسْتَهْزِئُونَ","آ خرکار جن لوگوں نے بُرائیاں کی تھیں ان کا انجام بہت برا ہوا، اس لیے کہ انہوں نے اللہ کی آیات کو جھٹلایا تھا اور وہ ان کا مذاق اڑاتے تھے","Evil was the end of those evil-doers, for they gave the lie to Allah's Signs and scoffed at them."
"3420","30","11","اللَّهُ يَبْدَأُ الْخَلْقَ ثُمَّ يُعِيدُهُ ثُمَّ إِلَيْهِ تُرْجَعُونَ","اللہ ہی خلق کی ابتدا کرتا ہے، پھر وہی اس کا اعادہ کرے گا، پھر اسی کی طرف تم پلٹائے جاؤ گے","Allah creates in the first instance and will later repeat it. Thereafter it is to Him that you shall be sent back."
"3421","30","12","وَيَوْمَ تَقُومُ السَّاعَةُ يُبْلِسُ الْمُجْرِمُونَ","اور جب وہ ساعت برپا ہو گی اس دن مجرم ہَک دَک رہ جائیں گے","On that Day when the Hour will come to pass, the criminals shall be dumbfounded."
